,demand_th,demand_el,wind,pv
88,0.2775301242,0.8514848944,0.2808925526277801,0.0
89,0.2933761694,0.8866115659999999,0.28556261345838885,0.0
90,0.3062412067,0.8873046023000001,0.28409787016882954,0.0
91,0.29531628579999997,0.8572216946,0.27657050796384824,0.0
92,0.27543399620000003,0.8105700865000001,0.2858672001238149,0.0
93,0.23598391510000002,0.788572602,0.2572047696970177,0.0
94,0.1693646938,0.7815010652,0.2503432603326351,0.0
95,0.1625716563,0.7304345594,0.25984950675482965,0.0
96,0.1794790773,0.688056675,0.2584512408169036,0.0
97,0.1843499891,0.6595780179,0.2637868546399228,0.0
98,0.19217106920000002,0.6419055931000001,0.2732787153548391,0.0
99,0.20609256420000002,0.6386842578,0.2619689885792221,0.0
100,0.2425124111,0.6445108961,0.2395640311723804,0.0
