demand_el,pv,wind
0.6245314271,0,0.210405
0.596983698,0,0.182572
0.5774561939,0,0.159968
0.5568825734,0,0.144647
0.5657745619,0,0.132654
0.593322291,0,0.128774
0.6378694098,0,0.126178
0.7012466219,8E-06,0.123987
0.739517043,0.0738,0.123489
0.7678493593,0.179492,0.108641
0.7750849969,0.254836,0.08368
0.7709005318,0.305859,0.094592
0.7334146979,0.322512,0.120943
0.7253072967,0.282464,0.137187
0.7181588353,0.184176,0.162207
0.7225176532,0.059505,0.214238
0.7719466481,0.001521,0.273182
0.796530381,0,0.310908
0.7678493593,0,0.342955
0.7236509459,0,0.384065
0.6805858251,0,0.43193
0.6416179932,0,0.486595
0.6394385843,0,0.582011
0.5922761747,0,0.681077
0.5622875076,0,0.746583
0.5341295441,0,0.777987
0.5266323773,0,0.779641
0.5139046291,0,0.765315
0.5180019179,0,0.71105
0.5293348444,0,0.656147
0.5476418795,0,0.624462
0.5965478162,0.000366,0.603871
0.6449306948,0.104938,0.562507
0.6811960596,0.246203,0.475009
0.7029901491,0.388778,0.425441
0.7072617906,0.46057,0.44043
0.6648940807,0.444998,0.450186
0.6471972801,0.362363,0.404823
0.6312440066,0.257345,0.309537
0.6290645977,0.131665,0.252817
0.6928776916,0.01056,0.266098
0.7308865836,0,0.269156
0.7298404673,0,0.255619
0.7101386104,0,0.245477
0.6726527766,0,0.245533
0.6532996251,0,0.244637
0.6551303287,0,0.213705
0.6189521402,0,0.177208
0.5937581728,0,0.144706
0.5732717287,0,0.115715
0.5636823294,0,0.090186
0.5601080987,0,0.067839
0.5940197019,0,0.052954
0.6894778136,0,0.043536
0.8239037573,0,0.040793
0.885973324,0.000181,0.046858
0.9001830704,0.133707,0.04908
0.9062854154,0.283138,0.040174
0.9044547119,0.38973,0.039655
0.8932961381,0.451912,0.050276
0.8687124052,0.454958,0.058269
0.86548688,0.400618,0.064285
0.858425595,0.280132,0.068195
0.8676662889,0.121471,0.081395
0.9163978729,0.002621,0.102664
0.9351407898,0,0.119268
0.908377648,0,0.12638
0.8540667771,0,0.134802
0.7921715631,0,0.153363
0.7352454014,0,0.180171
0.724174004,0,0.20231
0.6709964258,0,0.217177
0.6384796443,0,0.229949
0.610147328,0,0.248285
0.5975067562,0,0.268965
0.588440415,0,0.285289
0.6151163804,0,0.283177
0.7017696801,0,0.281505
0.8168424723,0,0.289954
0.8958242525,0,0.305255
0.9116031732,0.01223,0.318006
0.9208438671,0.040922,0.328745
0.9282538576,0.065173,0.356483
0.9267718595,0.083875,0.376421
0.9111672914,0.097074,0.373547
0.9098596461,0.078982,0.368249
0.9089007061,0.045503,0.379018
0.9099468224,0.013303,0.406652
0.9324383227,4.2E-05,0.433562
0.9358382007,0,0.451022
0.9100339988,0,0.457097
0.8480516084,0,0.449532
0.7861563944,0,0.423521
0.7307122308,0,0.3818
0.7177229535,0,0.307331
0.6700374858,0,0.235753
0.6425769331,0,0.182599
0.6274954232,0,0.155854
0.6114549734,0,0.16407
0.619649551,0,0.202735
0.6545200942,0,0.259606
0.737076105,0,0.311071
0.8518873681,0,0.347296
0.8884142621,1.4E-05,0.373641
0.8919013164,0.053023,0.378504
0.8961729579,0.156395,0.357629
0.8946037835,0.282117,0.332356
0.8854502659,0.388252,0.346323
0.8718507541,0.429552,0.340466
0.8662714672,0.384005,0.295895
0.8631331183,0.278894,0.221545
0.8617382966,0.132209,0.155187
0.9097724697,0.01086,0.131463
0.9299102084,0,0.108318
0.8953011943,0,0.088749
0.8503181937,0,0.07864
