#source : https://ens.dk/en/our-services/statistics-data-key-figures-and-energy-maps/overview-energy-sector
GSRN,connection_to_grid_date,decommissioning_date,capacity_kW,rotor_diameter_m,hub_height_m,manufacturer,model,local_authority_no,local_authority_name,location_type,cadastral_district,cadastral_no,x,y,coordinate_origin,installation_number,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017
570714700000008351,4/12/1989,11/20/2003,150,23,24.5,BONUS,150/30 kW,376,Guldborgsund,LAND,"Bruserup By, Væggerløse",6a,685864.582,6061430.351,Stamdata,166003,,,,,,,,,,,,,"209,694","432,334","377,512","409,190","311,340","426,500","373,900","308,700","333,300","415,902","329,088","348,485","301,477","339,841","241,250",,,,,,,,,,,,,,,,,,,,,,
570714700000008368,3/22/1989,11/20/2003,150,23,24.5,BONUS,150/30 kW,376,Guldborgsund,LAND,"Bruserup By, Væggerløse",3a,685868.582,6062803.343,Stamdata,166004,,,,,,,,,,,,,"226,614","408,662","352,706","377,846","305,148","415,052","364,680","302,894","329,846","401,205","320,191","344,866","288,020","334,100","239,649",,,,,,,,,,,,,,,,,,,,,,
570714700000008399,4/12/1989,11/20/2003,150,23,24,BONUS,150/30 kW,376,Guldborgsund,LAND,"Bruserup By, Væggerløse",7e,686333.577,6061646.35,Stamdata,166071,,,,,,,,,,,,,"156,390","372,456","310,666","355,188","277,342","382,560","340,208","273,940","299,748","362,559","298,013","318,277","271,645","314,355","192,958",,,,,,,,,,,,,,,,,,,,,,
570714700000008504,7/13/1989,12/17/2003,220,25,31,Wind World,W 2500-220 ,376,Guldborgsund,LAND,Væggerløse,8a,685664.581,6068449.304,Stamdata,166842,,,,,,,,,,,,,"144,936","451,887","363,570","370,488","343,722","450,420","389,361","308,769","341,730","430,101","347,497","375,536","205,166","215,292","137,290",,,,,,,,,,,,,,,,,,,,,,
570714700000008528,8/31/1989,8/31/2015,150,25,31,Wind World,W 2500-150 ,376,Guldborgsund,LAND,"Vigsnæs By, Vigsnæs",7a,670449.21,6086022.89,"GST, 18-02-2013",166947,,,,,,,,,,,,,"133,880","479,340","433,200","456,340","379,660","493,000","444,300","382,100","420,000","497,409","294,700","512,473","373,186","379,123","385,302","431,385","396,530","362,174","435,634","406,271","371,242","396,454","314,172","272,537","257,259","247,116","231,461",,,,,,,,,,
570714700000008566,11/2/1989,8/31/2009,150,24,25,BONUS,150/30 kW,376,Guldborgsund,LAND,"Sdr Alslev By, Sdr. Kirkeby",7c,692576.34,6072246.06,"GST, 18-02-2013",167112,,,,,,,,,,,,,"48,420","365,580","318,520","353,200","285,540","378,280","348,360","293,900","312,720","365,519","306,187","330,947","278,402","334,034","267,935","261,493","246,700","260,554","318,294","324,867","88,231",,,,,,,,,,,,,,,,
570714700000008597,10/17/1989,9/6/2015,150,28,31,Wind World,W 2700-150 ,376,Guldborgsund,LAND,"Tårs By, Tårs",9,669480.8,6081368.89,"GST, 18-02-2013",169661,,,,,,,,,,,,,"72,020","379,000","358,840","389,800","317,780","423,420","402,060","319,340","364,040","398,072","327,130","340,427","278,788","334,912","312,811","342,432","328,854","295,909","337,663","350,279","323,458","323,323","329,214","284,754","201,171","185,830","188,896",,,,,,,,,,
570714700000008603,10/19/1990,1/6/2016,150,25,31,Wind World,W 2500-150 ,376,Guldborgsund,LAND,"Frejlev By, Kettinge",5,677134.45,6066272.21,"GST, 18-02-2013",170885,,,,,,,,,,,,,,"398,380","310,620","369,820","350,740","404,200","385,680","256,740","450,400","378,374","335,854","327,290","266,546","331,454","281,532","321,907","286,876","268,114","336,725","350,099","298,666","271,299","317,932","310,219","288,055","291,399","224,782",0,,,,,,,,,
570714700000008665,11/30/1989,9/30/2014,150,23.2,30,Wind World,WW 2320-150 ,376,Guldborgsund,LAND,Toreby,42a,680208.7,6070077.79,"GST, 18-02-2013",173324,,,,,,,,,,,,,"123,380","326,700","297,020","337,840","276,500","374,780","320,480","268,600","291,120","323,400","241,108","303,127","252,943","292,493","254,123","287,644","267,853","225,380","295,133","297,242","246,116","239,484","290,967","267,702","250,787","188,089",,,,,,,,,,,
570714700000008801,2/13/1990,10/17/2014,150,23,30,BONUS,150/30 kW,376,Guldborgsund,LAND,"Skerne By, Gundslev",3,687184.18,6087033.52,"GST, 18-02-2013",174142,,,,,,,,,,,,,,"252,940","297,520","328,020","271,800","351,340","302,280","278,560","282,600","354,616","281,043","298,729","263,385","309,838","273,490","301,427","282,349","253,219","302,403","294,058","159,193","237,114","298,649","258,187","206,668","168,717",,,,,,,,,,,
570714700000008849,4/6/1990,11/3/2011,225,27,31.5,Vestas Wind Systems A/S,V 27-225 ,376,Guldborgsund,LAND,Kippinge,37a,677830.632,6087010.129,Stamdata,174441,,,,,,,,,,,,,,"313,580","497,540","532,260","425,450","574,710","529,770","434,970","469,470","549,180","434,005","462,416","424,280","471,445","447,457","469,222","460,466","402,898","549,587","505,222","443,052","362,464","414,365",,,,,,,,,,,,,,
570714700000008863,6/26/1990,3/23/2015,150,23,30,BONUS,150/30   - MK ll,376,Guldborgsund,LAND,"Lundby By, Brarup",5a,681949.3,6084000.17,"GST, 18-02-2013",174777,,,,,,,,,,,,,,"76,302","307,600","328,726","267,800","365,400","330,300","269,600","286,820","334,840","267,705","285,544","250,257","288,040","262,617","291,559","271,689","239,541","312,063","292,261","258,099","255,928","288,232","277,785","257,367","250,933",0,,,,,,,,,,
570714700000008924,8/16/1990,8/31/2015,150,28,31,Wind World,W 2800-150 ,376,Guldborgsund,LAND,"Grønnegade By, Bregninge",a,672593,6066187.64,"GST, 18-02-2013",175125,,,,,,,,,,,,,,"160,000","380,000","395,000","332,500","444,900","400,000","323,600","361,000","423,908","349,222","371,994","303,628","355,773","312,654","354,386","329,624","298,826","365,459","365,382","288,288","308,717","333,801","342,769","301,578","270,666","194,260",,,,,,,,,,
570714700000009099,3/7/1991,5/5/2010,150,23.8,30,BONUS,150   - MK ll,376,Guldborgsund,LAND,Horbelev,4a,695741.505,6082213.173,Stamdata,176086,,,,,,,,,,,,,,,"245,960","373,860","302,880","397,240","342,640","271,160","287,480","347,451","291,931","307,052","270,319","303,120","261,547","293,316","282,151","248,261","274,965","323,942","273,469","103,270",,,,,,,,,,,,,,,
570714700000009136,6/17/1991,10/1/2013,150,23.8,30,BONUS,150   - MK lll,376,Guldborgsund,LAND,Torkilstrup,6a,688614.31,6084009.78,"GST, 18-02-2013",176217,,,,,,,,,,,,,,,"151,040","340,440","281,040","376,540","336,640","278,940","307,680","358,108","288,297","300,930","260,133","307,821","278,095","304,445","265,377","254,850","303,243","320,636","275,676","266,467","302,821","203,271","175,536",,,,,,,,,,,,
570714700000009167,7/5/1991,9/15/2010,150,23.8,30,BONUS,150   - MK ll,376,Guldborgsund,LAND,"Gundslevmagle By, Torkilstrup",18tl,687097.665,6084758.859,Stamdata,176386,,,,,,,,,,,,,,,"97,749","347,990","284,760","387,210","341,325","291,420","303,282","365,849","289,365","301,305","268,971","306,956","286,348","312,994","286,201","254,942","307,690","325,117","288,421","159,462",,,,,,,,,,,,,,,
570714700000009174,7/5/1991,9/15/2010,150,23.8,30,BONUS,150   - MK ll,376,Guldborgsund,LAND,"Gundslevmagle By, Torkilstrup",18l,687070.615,6084637.026,Stamdata,176386,,,,,,,,,,,,,,,"97,749","347,990","284,760","387,210","341,325","291,420","303,282","365,849","289,365","301,305","268,971","306,956","286,348","312,994","286,201","254,942","307,690","325,117","288,421","159,462",,,,,,,,,,,,,,,
570714700000009211,8/23/1991,2/25/2016,150,28,30,Wind World,W 2800-150 ,376,Guldborgsund,LAND,Musse,4b,672055.92,6066082.32,"GST, 18-02-2013",177272,,,,,,,,,,,,,,,"144,020","353,200","302,820","398,660","356,160","292,820","314,960","378,116","306,406","331,396","271,581","281,435","240,774","288,532","273,488","258,069","304,982","326,452","272,402","260,171","289,688","260,577","275,740","286,733","199,228",0,,,,,,,,,
570714700000009303,11/15/1991,11/20/2003,150,23.8,30,BONUS,V27-225  ,376,Guldborgsund,LAND,"Marrebæk By, Væggerløse",6h,686582,6062456,Stamdata,177780,,,,,,,,,,,,,,,"60,120","381,760","317,600","414,180","374,420","307,800","333,920","410,060","339,327","355,131","293,131","330,207","220,084",,,,,,,,,,,,,,,,,,,,,,
570714700000009327,10/22/1991,5/15/2014,150,23.8,30,BONUS,150   - MK lll,376,Guldborgsund,LAND,"Skerne By, Gundslev",18a,687447.49,6086947.59,"GST, 18-02-2013",177786,,,,,,,,,,,,,,,"79,920","339,320","286,980","383,380","341,900","277,320","301,840","361,412","285,767","308,423","266,956","304,119","277,201","307,496","281,578","247,724","334,499","312,261","271,810","262,434","295,543","237,462","248,746","138,108",,,,,,,,,,,
570714700000009341,12/9/1991,2/27/2014,250,31,30,BONUS,300   COMBI,376,Guldborgsund,LAND,"Virket, Falkerslev",15a,691756.84,6080312.83,"GST, 18-02-2013",178225,,,,,,,,,,,,,,,"97,830","488,100","453,030","600,600","518,700","441,600","386,820","672,911","458,874","491,690","413,258","500,847","433,037","486,831","441,743","405,797","387,172","486,029","414,929","388,506","463,172","436,754","361,795","101,224",,,,,,,,,,,
570714700000009365,11/25/1991,9/6/2015,250,31,30,BONUS,250   COMBI,376,Guldborgsund,LAND,"Egelev By, Nørre Vedby",11a,683611.03,6090885.14,"GST, 18-02-2013",178302,,,,,,,,,,,,,,,"97,860","654,999","458,199","692,247","637,221","506,940","563,526","646,474","523,039","558,595","469,098","524,554","346,079","526,215","346,106","356,827","595,477","593,605","495,186","488,797","495,669","520,310","472,871","506,359","353,702",,,,,,,,,,
570714700000009389,1/22/1992,9/14/2010,150,23,30,BONUS,150   - MK lll,376,Guldborgsund,LAND,Idestrup,17a,694041.496,6068618.29,Stamdata,178538,,,,,,,,,,,,,,,,"382,780","350,280","443,000","409,620","349,120","364,560","407,649","339,465","378,149","322,891","393,684","330,437","363,331","326,113","306,855","357,034","119,138","271,886","193,690",,,,,,,,,,,,,,,
570714700000009433,10/8/1992,5/5/2010,300,31,30,BONUS,300 kW,376,Guldborgsund,LAND,Horbelev,4a,695674.795,6082285.952,Stamdata,179444,,,,,,,,,,,,,,,,0,"783,490","704,940","620,830","495,480","534,261","643,881","463,971","559,229","467,674","567,062","456,427","252,119","483,840","429,734","568,427","600,147","500,009","30,690",,,,,,,,,,,,,,,
570714700000014031,10/25/1988,12/10/2007,150,24,25,BONUS,150/30 kW,376,Guldborgsund,LAND,"Egebjerg, Sdr. Kirkeby",7d,692316.958,6072496.348,Stamdata,164374,,,,,,,,,,,,"94,313","292,495","335,155","278,683","320,803","256,003","350,613","313,825","265,758","283,298","321,370","259,364","275,477","232,495","289,930","239,859","256,056","219,107","226,022","232,106",,,,,,,,,,,,,,,,,,
570714700000105876,4/17/1986,12/8/2006,55,0.1,0.1,Vestas Wind Systems A/S,Ukendt-Vestas,376,Guldborgsund,LAND,"Sundby By, Toreby",6a,682860,6073525,Stamdata,15124,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,745,,,,,,,,,,,,,,,,,,,
570714700000001109,3/1/1987,8/3/2011,750,40,45,Windane,WD 40,390,Vordingborg,LAND,Uoplyst,1bæ,684191,6098300,Stamdata,EVV001,,,,,,,,,,,"520,993","864,834","657,719","830,837","739,614","999,171","1,172,053","1,369,600","1,145,600","565,600","1,077,200","1,312,200","673,200","641,200","809,698","843,767","803,253","944,482","463,904","433,737","739,104","177,729","148,394","130,896",0,,,,,,,,,,,,,,
570714700000001116,3/1/1987,8/3/2011,750,40,45,Windane,WD 40,390,Vordingborg,LAND,Uoplyst,1aa,684098,6098156,Stamdata,EVV001,,,,,,,,,,,"520,993","864,834","657,719","830,837","739,614","999,171","1,172,053","1,369,600","1,145,600","565,600","1,077,200","1,312,200","673,200","641,200","809,698","843,767","803,253","944,482","463,904","433,737","739,104","177,729","148,394","130,896",0,,,,,,,,,,,,,,
570714700000001123,3/1/1987,8/3/2011,750,40,45,Windane,WD 40,390,Vordingborg,LAND,Uoplyst,1aa,684054,6097947,Stamdata,EVV001,,,,,,,,,,,"520,993","864,834","657,719","830,837","739,614","999,171","1,172,053","1,369,600","1,145,600","565,600","1,077,200","1,312,200","673,200","641,200","809,698","843,767","803,253","944,482","463,904","433,737","739,104","177,729","148,394","130,896",0,,,,,,,,,,,,,,
570714700000001130,3/1/1987,8/3/2011,750,40,45,Windane,WD 40,390,Vordingborg,LAND,Uoplyst,1aa,684046,6097743,Stamdata,EVV001,,,,,,,,,,,"520,993","864,834","657,719","830,837","739,614","999,171","1,172,053","1,369,600","1,145,600","565,600","1,077,200","1,312,200","673,200","641,200","809,698","843,767","803,253","944,482","463,904","433,737","739,104","177,729","148,394","130,896",0,,,,,,,,,,,,,,
570714700000001147,3/1/1987,8/3/2011,750,40,45,Windane,WD 40,390,Vordingborg,LAND,Uoplyst,1aa,684113,6097609,Stamdata,EVV001,,,,,,,,,,,"520,993","864,834","657,719","830,837","739,614","999,171","1,172,053","1,369,600","1,145,600","565,600","1,077,200","1,312,200","673,200","641,200","809,698","843,767","803,253","944,482","463,904","433,737","739,104","177,729","148,394","130,896",0,,,,,,,,,,,,,,
570714700000006586,7/1/1981,10/16/2002,30,11,18,Nordtank,NTK 30/75,390,Vordingborg,LAND,Fanefjord,32a,704415.455,6089616.086,Stamdata,143474,,,,,"7,036","15,181","18,407","18,687","14,689","18,196","14,880","18,525","24,062","17,700","14,120","22,220","19,510","19,640","18,810","13,810","31,985","49,757","41,153","45,645","40,227","20,145",,,,,,,,,,,,,,,,,,,,,,,
570714700000006685,10/10/1986,4/30/2002,99,0.1,0.1,NEG Micon,NTK 99,390,Vordingborg,LAND,Køng Mark,14c,679729.642,6109198.018,Stamdata,157520,,,,,0,"80,808","97,981","99,474","78,190","96,856","79,205","98,608","91,580","88,060","90,930","86,910","78,480","118,960","103,160","87,600","100,060","126,220","100,970","77,640",,,,,,,,,,,,,,,,,,,,,,,,,
570714700000006739,8/8/1982,1/7/2002,55,15.5,18,Nordtank,NTK 55/11,390,Vordingborg,LAND,"Sprove By, Damsholte",3e,702116,6094534,Stamdata,145679,,,,,,"30,999","112,760","114,478","89,998","111,466","91,152","113,482","134,097","104,554","135,650","106,595","110,950","113,964","103,671","71,005","90,626","111,903","58,932","99,139","25,848",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000006746,8/1/1982,6/30/2014,7.5,7,12,Eget fabrikat,"EMR 7,5 - 2",390,Vordingborg,LAND,"Råbylille By, Møn",47c,717817.58,6096903.72,"GST, 18-02-2013",4556,,,,,,"2,200","8,004","8,126","6,387","7,912","6,470","8,055","8,191","8,833","5,814","8,496","8,810","8,570","6,876","4,666","6,994","6,904","4,263","2,081","2,443","3,073",0,555,"1,779","1,420","1,609","2,320",945,293,31,5,0,0,,,,,,,,,,,
570714700000006852,6/28/1983,1/7/2002,55,15.7,22,Nordtank,NTK 55 F-Nordtank,390,Vordingborg,LAND,"Rødding, Damsholte",7a,701561.483,6093330.067,Stamdata,149887,,,,,,,"67,640","137,341","107,955","133,727","109,356","136,146","132,560","144,310","123,230","138,000","110,200","135,200","117,400","103,150","108,470","136,540","108,260","118,300","92,910",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000006906,11/9/1984,1/7/2002,55,16,22,Nordtank,NTK 55/11,390,Vordingborg,LAND,"Neble By, Stege Lds","5c,31g",707859.442,6095323.023,Stamdata,151361,,,,,,,,"11,476","108,248","134,089","109,652","136,515","121,123","128,820","115,288","128,662","127,053","144,304","130,979","112,643","110,880","143,340","107,360","119,880","94,020",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000006913,10/3/1984,7/2/2002,55,15.5,20,Windmatic,VM 15 S,390,Vordingborg,LAND,"Svensmarke Møllelaug, Stege",2p,711518.418,6096378.996,Stamdata,151751,,,,,,,,"25,538","120,444","149,197","122,007","151,896","134,870","144,370","121,770","162,530","89,350","149,840","144,090","119,780","122,220","142,610","101,140","137,310","115,610","74,820",,,,,,,,,,,,,,,,,,,,,,,
570714700000006975,11/7/1984,1/7/2002,55,16,22,Nordtank,NTK 55/11,390,Vordingborg,LAND,"Tostenæs By, Fanefjord",10h,700618.487,6091461.086,Stamdata,152544,,,,,,,,"10,820","125,000","125,000","125,000","125,000","111,890","148,590","111,830","119,650","105,490","143,220","118,620","106,850","117,060","138,640","111,220","124,050","96,440",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000006999,11/7/1984,1/7/2002,55,18,24,Nordtank,NTK 55/9,390,Vordingborg,LAND,Fanefjord,31a,704415.455,6089616.086,Stamdata,152948,,,,,,,,"11,430","125,000","125,000","125,000","125,000","102,270","123,720","115,400","124,260","130,130","131,360","115,320","92,220","104,180","106,630","101,460","113,600","85,570",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000007057,4/24/1985,1/7/2002,75,17,23.4,Vestas Wind Systems A/S,V 17-75 kW,390,Vordingborg,LAND,"Kalvehave Østre, Øster-Egesborg",lejetareal,700248.502,6099925.025,Stamdata,153337,,,,,,,,,"43,060","100,000","100,000","100,000","142,430","145,890","124,720","141,080","136,980","153,470","153,170","100,270","158,560","107,750","115,730","122,570","90,470",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000007064,4/30/1985,1/7/2002,75,17,24,Windmatic,VM 17 75,390,Vordingborg,LAND,Æbelnæs By/Damsholte,4a,706974.445,6093664.041,Stamdata,153342,,,,,,,,,"17,190","100,000","100,000","100,000","214,170","158,150","143,760","167,760","156,090","181,500","155,670","119,750","109,590","142,630","117,870","146,500","110,580",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000007071,8/1/1982,6/28/2002,55,15,23,Windmatic,15 S,390,Vordingborg,LAND,Råbylille By/Elmelunde,13d,717463.379,6097017.959,Stamdata,153617,,,,,,"40,000","120,000","120,000","120,000","120,000","120,000","120,000","130,700","142,710","124,470","143,180","147,450","148,360","130,590","114,020","118,940","130,790","117,250","125,850","108,310","50,710",,,,,,,,,,,,,,,,,,,,,,,
570714700000007088,6/26/1985,8/7/2002,55,16,22.5,Vestas Wind Systems A/S,V 55-15 ,390,Vordingborg,LAND,Ørslev,33e,688325.59,6104421.038,Stamdata,153629,,,,,,,,,"61,631","70,000","70,000","70,000","111,971","122,833","105,233","125,542","123,059","127,929","108,141","89,385","100,374","112,365","95,262","100,526","83,282","37,580",,,,,,,,,,,,,,,,,,,,,,,
570714700000007156,1/30/1986,1/7/2002,75,17,24,Windmatic,VM 17 75,390,Vordingborg,LAND,"Bissinge By, Stege Jorder",33a,709386.43,6094954.019,Stamdata,154682,,,,,,,,,,"189,943","189,943","189,943","191,627","187,601","181,258","204,116","199,921","214,374","190,391","157,691","169,870","182,040","163,040","180,900","139,830",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000007163,1/22/1986,4/2/2002,75,17,22,Windmatic,VM 07 (17 S),390,Vordingborg,LAND,Damsholte,46,709384.424,6092610.039,Stamdata,154701,,,,,,,,,,"165,220","168,000","168,000","189,640","144,880","179,770","207,330","179,500","226,920","193,250","176,964","186,458","215,772","180,850","201,400","176,634","37,718",,,,,,,,,,,,,,,,,,,,,,,
570714700000007170,1/22/1986,4/2/2002,75,17,22,Windmatic,VM 07 (17 S),390,Vordingborg,LAND,Damsholte,46,709373.424,6092528.039,Stamdata,154701,,,,,,,,,,"165,220","168,000","168,000","189,640","144,880","179,770","207,330","179,500","226,920","193,250","176,964","186,458","215,772","180,850","201,400","176,634","37,718",,,,,,,,,,,,,,,,,,,,,,,
570714700000007200,10/10/1985,7/8/2002,75,17,23.4,Vestas Wind Systems A/S,V 17-75 ,390,Vordingborg,LAND,"Skovhuse By, Øster Egesborg",4c,696660.527,6099804.041,Stamdata,154881,,,,,,,,,"55,230","100,000","100,000","100,000","117,860","137,230","112,850","123,150","104,930","133,470","118,350","91,960","108,010","124,440","96,850","106,350","91,660","41,280",,,,,,,,,,,,,,,,,,,,,,,
570714700000007248,12/18/1985,11/19/2002,75,17,22,Windmatic,VM 07 (17 S),390,Vordingborg,LAND,"Hovedskov, Stege Jorder",18,714662.395,6096139.982,Stamdata,155318,,,,,,,,,"32,970","120,000","120,000","120,000","177,740","172,570","148,700","168,900","150,300","181,600","172,500","133,670","136,000","165,000","125,440","102,250","124,000","104,030",,,,,,,,,,,,,,,,,,,,,,,
570714700000007293,5/10/1986,11/15/2002,55,16,23,Vestas Wind Systems A/S,V 16,390,Vordingborg,LAND,"Stubberup, Magleby",5a,722513.363,6100580.901,Stamdata,156238,,,,,,,,,,"50,990","130,000","130,000","117,950","130,160","114,580","127,090","104,220","144,060","129,060","101,310","103,080","118,170","93,120","102,810","90,132","59,672",,,,,,,,,,,,,,,,,,,,,,,
570714700000007316,5/28/1986,6/28/2002,75,17,23,Windmatic,WM 07 75/15 17 S,390,Vordingborg,LAND,Keldby,11d,712786.412,6097436.98,Stamdata,156302,,,,,,,,,,"102,400","220,000","220,000","200,420","220,830","192,350","212,310","180,280","234,240","213,220","181,350","185,470","218,490","184,280","204,910","171,170","101,410",,,,,,,,,,,,,,,,,,,,,,,
570714700000007385,10/22/1986,12/17/2002,99,0.1,0.1,Wincon,W 99 LM,390,Vordingborg,LAND,"Sprove By, Damsholte",2a,694926.468,6094064,Stamdata,157364,,,,,,,,,,"55,080","250,000","250,000","274,180","269,860","287,100","188,540","65,380","240,520","186,100","196,280","191,040","250,820","172,900","212,980","182,480","219,425",,,,,,,,,,,,,,,,,,,,,,,
570714700000007408,10/10/1986,4/30/2002,99,0.1,0.1,NEG Micon,NTK 99,390,Vordingborg,LAND,Køng Mark,14c,679729.642,6109198.018,Stamdata,157520,,,,,,,,,,"95,500","300,000","300,000","227,210","283,790","209,590","241,670","97,210","4,650","197,940","193,830","192,850","228,140","206,840","221,130","189,090","91,500",,,,,,,,,,,,,,,,,,,,,,,
570714700000007538,4/14/1987,11/19/2002,80,17,23.5,Tellus,TE 1780,390,Vordingborg,LAND,"Udby, Stege Lds.",3g,711507.426,6099998.965,Stamdata,158520,,,,,,,,,,,"10,000","100,000","142,010","173,050","152,880","184,130","169,400","183,500","140,830","111,770","144,820","142,220","147,380","150,130","124,145","128,010",,,,,,,,,,,,,,,,,,,,,,,
570714700000007750,3/8/1988,6/24/2010,180,23.2,30,Danwin,DW 23-Danwin,390,Vordingborg,LAND,"Bogø By, Bogø",22f,694082.532,6091824.101,Stamdata,162663,,,,,,,,,,,,"93,040","300,000","422,780","327,820","389,680","392,320","419,280","401,720","301,740","329,440","424,660","304,659","311,944","282,915","337,721","281,185","310,932","259,460","255,325","367,198","349,345","277,652",0,,,,,,,,,,,,,,,
570714700000007767,3/22/1988,11/24/2010,200,24,28.5,Wincon,W 200/26,390,Vordingborg,LAND,Damsholte,3l,702506.478,6094124.057,Stamdata,162797,,,,,,,,,,,,"327,120","475,320","516,690","504,600","353,010","433,470","471,510","85,710","278,220","294,240","365,040","208,825","320,305","255,375","296,911","220,407","219,923","68,331","112,187","362,078","303,226","232,900","215,063",,,,,,,,,,,,,,,
570714700000007835,4/8/1988,12/8/2011,180,23,30,SLETTES-Danwind,DW 23-Danwin,390,Vordingborg,LAND,Fanefjord,9g,700534.14,6092013.92,"GST, 18-02-2013",163018,,,,,,,,,,,,"182,930","351,930","410,280","328,950","400,500","380,490","413,520","329,070","264,540","337,320","374,880","271,604","339,959","280,133","321,366","292,636","317,132","313,178","269,794","381,670","365,251","314,223","182,973","308,834",,,,,,,,,,,,,,
570714700000007859,7/8/1988,3/2/2013,150,21.8,24,SMEDEM.,DK 22-SMEDEM.,390,Vordingborg,LAND,Fanefjord,18a,703459.28,6086514.51,"GST, 18-02-2013",163159,,,,,,,,,,,,"157,180","353,800","404,860","353,600","391,080","293,700","449,900","391,700","341,940","341,160","409,920","338,778","373,357","279,234","366,907","321,569","356,186","330,307","273,098","379,280","377,492","324,896","292,050","317,043","186,928","33,670",,,,,,,,,,,,
570714700000007972,8/19/1988,7/25/2002,99,19,30,Windmatic,19 S,390,Vordingborg,LAND,"Bogø By, Bogø",13a,694964.526,6091676.101,Stamdata,163739,,,,,,,,,,,,"112,260","202,540","237,520","193,940","211,100","173,560","228,460","205,460","157,120","170,740","208,640","152,340","180,940","152,280","80,400",,,,,,,,,,,,,,,,,,,,,,,
570714700000008023,7/25/1988,8/21/2014,150,23,24.5,BONUS,150/30 kW,390,Vordingborg,LAND,"Bønsvig By, Jungshoved",3a,702151.6,6111307.39,"GST, 18-02-2013",164164,,,,,,,,,,,,"282,320","308,200","319,780","283,020","293,860","252,280","318,180","304,340","257,700","270,120","320,264","250,495","278,198","221,328","272,776","236,900","234,680","245,681","187,669","247,231","248,580","235,291","218,564","243,991","217,649","223,492","41,876",,,,,,,,,,,
570714700000008122,10/28/1988,11/7/2011,200,25,30,Vestas Wind Systems A/S,V 25-200 ,390,Vordingborg,LAND,Bårse,11f,689275.586,6111894.009,Stamdata,164530,,,,,,,,,,,,"205,753","309,270","380,310","334,260","369,600","309,450","402,210","355,890","298,500","314,640","380,708","283,816","303,554","266,638","326,750","281,641","305,757","288,495","263,294","318,686","331,798","285,489","253,910","264,950",,,,,,,,,,,,,,
570714700000008139,10/20/1988,7/15/2002,99,19,30,Windmatic,VM 19 S,390,Vordingborg,LAND,Elmelunde,7:00am,717459.392,6100558.93,Stamdata,164532,,,,,,,,,,,,"95,480","187,440","248,580","230,360","261,760","252,280","282,720","260,620","212,640","207,360","281,020","216,160","237,560","204,840","114,200",,,,,,,,,,,,,,,,,,,,,,,
570714700000008467,6/16/1989,6/1/2005,250,26,30,Micon,M 450-250  ,390,Vordingborg,LAND,Udby,6a,686202.605,6107869.026,Stamdata,166398,,,,,,,,,,,,,"175,420","501,500","415,500","441,580","386,760","497,700","425,760","336,900","377,610","471,665","360,525","393,073","308,190","386,790","337,603","380,444","54,046",,,,,,,,,,,,,,,,,,,,
570714700000008511,8/10/1989,8/23/2016,150,27,32,Wind World,W 2320-150 ,390,Vordingborg,LAND,"Ornebjerg By, Kastrup",4e,686542.91,6103874.7,"GST, 18-02-2013",166846,,,,,,,,,,,,,"75,074","314,646","272,546","298,444","237,998","317,722","277,154","154,818","231,094","289,322","227,050","243,838","206,349","248,930","206,555","243,503","218,581","201,279","241,965","263,505","201,445","194,388","221,126","218,843","199,547","214,298","262,731","113,740",,,,,,,,,
570714700000008610,11/27/1989,4/27/2017,200,24,30,Danwin,DW 24-200  ,390,Vordingborg,LAND,"Svinø By, Svinø",12a,675287.16,6110589.52,"GST, 18-02-2013",171675,,,,,,,,,,,,,0,"449,480","401,800","438,840","333,200","448,540","393,240","323,780","305,280","399,431","317,705","330,173","282,873","324,232","282,642","353,062","343,287","311,242","393,959","403,937","297,918","293,731","388,609","337,336","303,712","308,399","249,907","3,424",0,0,0,0,,,,,0
570714700000008696,11/21/1989,7/12/2015,225,27,31.5,Vestas Wind Systems A/S,V 27-225 ,390,Vordingborg,LAND,Bogø,106m,692156.25,6091333.65,"GST, 18-02-2013",173848,,,,,,,,,,,,,0,"492,102","463,100","529,400","437,400","574,400","538,500","452,300","489,600","566,284","455,847","478,434","422,620","489,924","431,928","481,782","442,069","398,446","527,524","489,035","433,295","432,079","472,925","487,288","448,263","379,087","139,102",,,,,,,,,,
